gene_id,Cont_JSY,Cont_LCM,Cont_LMH,Cont_LSA,Cont_T13008,IJHC1203,IJHC1215,IJHC1219,IJHC1231,T17012,T17013,T17015,T17019
100873917,0,0,0,0,0,0,0,0,0,0,0,0,0
24148,6480,4649,6358,5679,5739,7104,6798,5230,8037,6480,6744,6359,5997
24149,3012,2421,2288,2524,2552,2278,2661,2074,3401,2300,2603,2422,2560
286114,0,0,0,0,0,0,0,0,0,0,0,0,0
101927126,0,0,0,0,3,0,2,0,0,0,0,0,0
101927124,8,0,0,10,11,0,0,0,6,0,5,0,0
101927125,10,9,6,0,0,0,0,0,0,0,0,3,0
101927123,0,0,0,0,0,0,0,0,0,0,0,0,0
101927120,0,0,0,0,0,0,0,0,0,0,0,0,0
101927129,0,0,0,0,0,0,0,0,0,0,0,0,0
100499483,256,0,0,0,0,6,0,0,0,0,0,0,0
338821,0,0,0,0,0,0,0,0,0,0,0,0,0
100499484,124,58,145,83,69,51,155,80,128,150,106,196,128
146861,0,0,0,0,0,0,3,0,0,0,0,0,0
146862,0,0,0,0,0,0,0,0,0,0,0,0,0
136853,44,21,38,49,54,25,38,18,60,34,38,62,39
147199,0,0,0,0,0,0,0,0,0,0,0,0,0
346389,16,3,17,10,0,11,27,6,3,48,15,6,19
157247,537,474,386,336,366,202,337,211,418,330,313,355,309
692072,29,19,23,29,23,5,34,20,36,27,15,29,34
692073,12,11,14,9,2,1,11,8,13,13,14,15,20
692076,0,0,1,1,0,0,1,0,3,2,1,3,1
692075,5,9,10,4,4,6,5,13,9,7,1,12,5
100128317,3,0,0,0,6,0,0,0,6,0,0,0,0
59082,0,0,0,0,0,0,0,0,0,0,0,0,0
102465519,1,1,1,1,1,1,1,1,1,1,1,1,1
170688,1074,828,1141,1264,947,1109,1539,1217,1321,1278,1092,1260,1008
170689,83,83,72,35,138,202,147,112,333,122,596,135,64
170685,85,96,43,82,64,50,45,28,48,48,84,39,68
345895,14,16,15,27,13,7,16,10,15,7,6,12,17
170680,0,0,0,0,0,0,0,9,8,3,0,3,0
144423,3,0,0,0,0,0,0,6,0,0,0,0,0
339442,0,0,0,0,0,0,0,0,0,0,0,0,0
115273,127,66,84,97,68,48,57,68,33,46,69,54,34
339448,1182,730,823,934,740,717,968,695,1245,688,812,802,799
145773,14,9,11,6,0,0,18,11,18,3,21,3,6
102465510,4,2,1,1,1,0,1,2,2,1,1,0,1
